800307/7808,96605,Frantisek,Musalek,258,+421962680838,Frantisek.Musalek5563@gmail.com
810224/7604,96801,Robert,Cibulas,Skolska 8,+421926807903,Robert.Cibulas5977@gmail.com
810425/7997,92101,Michal,Miko,N.Teslu 3,+421990002491,Michal.Miko8825@gmail.com
810630/7803,03847,Miroslav,Vrzuk,Sklene 39,+421949487541,Miroslav.Vrzuk3138@gmail.com
800704/7675,02957,Andrej,Olejnik,Briskovka 786,+421971603450,Andrej.Olejnik105@gmail.com
771124/7687,91322,Felix,Lettrich,Trencianske Jastrabi,+421948231203,Felix.Lettrich7664@gmail.com
780502/8077,08621,Marek,Poruban,Vysna Vola 64,+421990880239,Marek.Poruban6761@gmail.com
810122/8234,02401,Peter,Mikula,D.Topolskeho 601/13,+421968249125,Peter.Mikula7770@gmail.com
790528/7533,02744,Peter,Fric,Hlisno 383,+421917214987,Peter.Fric3459@gmail.com
780711/7219,94501,Jan,Kadak,ul.bis.Krala 25/43,+421952705083,Jan.Kadak4991@gmail.com
810727/9389,01008,Tibor,Gregor,Presovska 3,+421967855516,Tibor.Gregor8102@gmail.com
810115/7141,01001,Stanislav,Holtan,B.Martinskeho 5,+421960978099,Stanislav.Holtan6022@gmail.com
810128/7975,97101,Jozef,Simek,Gazdovska 8/5,+421997905943,Jozef.Simek7967@gmail.com
770922/6789,02601,Stanislav,Kaikl,Mierova 1970/23-15,+421923629414,Stanislav.Kaikl2675@gmail.com
815817/7687,02334,Andrea,Bradlerova,313,+421957336396,Andrea.Bradlerova2081@gmail.com
790305/6535,96701,Eduard,Donat,CA 343/35,+421988258407,Eduard.Donat4861@gmail.com
811026/7066,97202,Matus,Melich,526,+421921456935,Matus.Melich9666@gmail.com
785710/8105,01001,Andrea,Rebova,Salezianska 1,+421999145882,Andrea.Rebova1595@gmail.com
810225/7152,01001,Juraj,Sivak,Rakove 34,+421964848689,Juraj.Sivak1372@gmail.com
800723/7073,04012,Martin,Mikolaj,Rovnikova 10,+421985873037,Martin.Mikolaj9125@gmail.com
790531/8058,07501,Jan,Samik,Komenskeho 2222/87,+421974638185,Jan.Samik5870@gmail.com
815815/7062,97201,Julia,Korbelova,SNP 12/2,+421981225800,Julia.Korbelova1497@gmail.com
800422/8419,91101,Ivan,Truban,Stromova 2,+421922722719,Ivan.Truban8769@gmail.com
800506/7906,03601,Karel,Juritka,Schmidtova 10,+421965742539,Karel.Juritka1927@gmail.com
800508/7376,01701,Milan,Kochman,Zakvasov 1518/50-9,+421956823860,Milan.Kochman5914@gmail.com
780427/8086,94051,Norbert,Hohr,Nabrezna 97,+421980255410,Norbert.Hohr3541@gmail.com
801130/8415,01001,Michal,Zifcak,Ruppeldtova 3,+421959947051,Michal.Zifcak6700@gmail.com
800516/7522,94901,Jan,Haderka,Brezova 10,+421933692697,Jan.Haderka5620@gmail.com
810122/7981,96001,Jaroslav,Makva,Strazska cesta 722/1,+421941791332,Jaroslav.Makva3381@gmail.com
810213/7923,91321,Ivan,Tichy,Lucna 490,+421987881819,Ivan.Tichy4148@gmail.com
810323/8616,94110,Lukas,Brutenic,Ceresnova 2,+421918176085,Lukas.Brutenic3082@gmail.com
801123/7982,97401,Peter,Paluch,A.Matusku 5,+421982008228,Peter.Paluch8117@gmail.com
800118/7711,03401,Peter,Vislocky,Namestie A.Hlinku 64,+421997956537,Peter.Vislocky4152@gmail.com
800815/8301,97101,Martin,Varga,Kosovska cesta 8/8,+421993346366,Martin.Varga5080@gmail.com
810804/8432,97901,Marian,Stolicny,Sportova 12/13,+421983212259,Marian.Stolicny4901@gmail.com
810226/8416,01701,Peter,Pavlov,Rozkvet 2032/67,+421972079733,Peter.Pavlov7982@gmail.com
800214/8099,01701,Rastislav,Till,CSSD 953/24,+421993981959,Rastislav.Till2658@gmail.com
800420/7916,91501,Peter,Bielik,Piestanska 61,+421968408707,Peter.Bielik7841@gmail.com
800802/7093,01001,Jakub,Smolek,Smrekova 3,+421971858407,Jakub.Smolek1857@gmail.com
770713/8076,02801,Stanislav,Liska,S.Zapad 1144/34-55,+421981563915,Stanislav.Liska4969@gmail.com
790912/7897,01001,Jan,Seliga,Smrekova 2/3090,+421944956670,Jan.Seliga9319@gmail.com
790401/7913,05951,Jan,Magath,Nad Tehelnou 2463/8,+421965958558,Jan.Magath809@gmail.com
791204/7902,08001,Martin,Lendel,Bajkalska 26,+421989046979,Martin.Lendel1327@gmail.com
745107/8008,93575,Maria,Sikorova,302,+421914348555,Maria.Sikorova4804@gmail.com
775111/8100,03481,Iveta,Cabanikova,Nova 718,+421937440199,Iveta.Cabanikova8557@gmail.com
550203/0001,02401,Miroslav,Benicky,Kukucinova 939/35,+421961695400,Miroslav.Benicky7002@gmail.com
800107/8987,01303,Peter,Salma,Oktobrova 635,+421950102009,Peter.Salma6430@gmail.com
750117/8960,97213,Juraj,Martinka,Dlha 504/93,+421975201582,Juraj.Martinka6954@gmail.com
775809/8436,97271,Nikola,Trpisova,Chemikov 18/26,+421910220625,Nikola.Trpisova7173@gmail.com
770309/9140,97248,Dusan,Karak,Radobica 281,+421969207473,Dusan.Karak9547@gmail.com
790518/7752,97101,Roman,Gregorovic,S.Meciara 12,+421943055044,Roman.Gregorovic3091@gmail.com
795424/7070,95122,Lubica,Hajdukova,Kostolna 431,+421999206335,Lubica.Hajdukova4533@gmail.com
780721/7605,43801,Hynek,Francek,U jezu 2301,+421987169348,Hynek.Francek4295@gmail.com
745426/8459,01313,Lenka,Jarabicova,Zabrezna 423,+421922453615,Lenka.Jarabicova2422@gmail.com
