211,615208/0000,40,1,2003-08-13,null,391,null
212,615402/0000,34,2,2002-06-05,null,339,null
213,615429/0000,12,5,2015-03-09,null,112,null
214,615529/0000,11,6,2006-03-23,null,106,null
215,615630/0001,31,3,2013-04-23,null,305,null
216,616028/0000,29,3,2014-01-04,null,283,null
217,616029/0000,3,2,2016-06-10,null,22,null
218,616211/0000,7,1,2005-10-16,null,64,null
219,620103/7095,9,1,2020-06-14,null,89,null
220,620404/0000,1,5,2007-12-11,null,5,null
221,620704/0000,9,1,2021-11-05,null,87,null
222,620906/0000,31,1,2002-02-04,null,305,null
223,620911/0000,38,3,2020-04-25,null,379,null
224,620928/0000,31,4,2013-01-04,null,305,null
225,625101/0005,33,1,2002-07-29,null,329,null
226,625902/0000,16,6,2022-08-19,null,159,null
227,630127/0000,13,1,2006-07-29,null,121,null
228,630208/0000,39,3,2015-09-09,null,387,null
229,630310/0000,13,2,2019-11-18,null,123,null
230,630423/0000,31,3,2022-06-18,null,303,null
231,630423/0001,12,8,2005-06-12,null,120,null
232,630615/0000,18,7,2010-05-08,null,171,null
233,630715/0000,15,7,2015-06-17,null,144,null
234,630809/0000,1,6,2014-12-28,null,7,null
235,630909/3230,32,7,2002-05-24,null,316,null
236,630926/6688,9,4,2007-03-25,null,84,null
237,631017/0000,3,2,2005-10-11,null,29,null
238,631024/0000,7,7,2004-10-24,null,64,null
239,631209/0000,9,8,2020-09-10,null,88,null
240,631217/0000,25,6,2007-08-16,null,247,null
241,631218/7112,40,6,2001-04-21,null,396,null
242,635326/0000,2,4,2018-11-19,null,15,null
243,635428/0000,31,2,2014-10-30,null,310,null
244,635706/0000,10,4,2019-10-05,null,92,null
245,635731/0000,7,4,2013-11-30,null,65,null
246,635905/0000,25,1,2011-04-26,null,245,null
247,635916/0000,6,8,2020-07-21,null,51,null
248,636013/0000,27,6,2019-11-08,null,261,null
249,636021/0000,22,2,2012-12-25,null,218,null
250,640301/0000,20,6,2018-02-21,null,196,null
251,640301/0001,32,5,2018-10-16,null,311,null
252,640422/8266,28,1,2001-06-17,null,273,null
253,640519/0000,23,8,2019-03-20,null,228,null
254,640613/0000,2,2,2003-11-02,null,17,null
255,640813/0000,18,3,2002-06-22,null,177,null
256,640905/7204,16,3,2002-04-01,null,156,null
257,640922/0000,31,8,2009-03-25,null,310,null
258,641224/0000,18,3,2022-03-24,null,173,null
259,645307/0000,35,3,2005-09-25,null,345,null
260,645309/5538,16,5,2015-08-09,null,156,null
261,646009/0000,14,8,2004-09-04,null,132,null
262,650101/0000,29,4,2009-12-07,null,285,null
263,650124/0000,25,2,2014-03-05,null,246,null
264,650420/0000,36,2,2002-04-05,null,358,null
265,650521/1779,6,8,2011-08-06,null,56,null
266,650617/0000,13,1,2014-05-07,null,129,null
267,650710/0000,11,1,2006-01-17,null,107,null
268,650718/5655,35,1,2000-12-18,null,347,null
269,650802/0000,29,7,2013-12-07,null,286,null
270,650920/0000,13,6,2020-03-24,null,130,null
271,651104/0000,24,6,2018-08-17,null,235,null
272,651104/0001,37,7,2008-03-04,null,361,null
273,651208/0000,9,7,2000-11-21,null,88,null
274,651213/0000,8,2,2016-02-06,null,77,null
275,655420/7925,12,4,2005-06-03,null,118,null
276,655816/0000,8,8,2022-01-25,null,75,null
277,660114/0000,20,3,2019-07-27,null,195,null
278,660202/0000,35,6,2009-04-17,null,342,null
279,660909/0000,27,8,2009-03-28,null,261,null
280,661026/0000,12,5,2006-07-27,null,120,null
281,661215/0000,14,8,2006-07-22,null,134,null
282,661219/0000,26,8,2004-11-22,null,251,null
283,670123/0000,31,8,2014-08-29,null,308,null
284,670201/0000,13,5,2007-02-11,null,129,null
285,670204/0001,1,4,2006-07-03,null,3,null
286,670302/0000,21,6,2018-11-06,null,204,null
287,670312/0000,13,8,2019-11-09,null,128,null
288,670509/2845,3,6,2010-10-08,null,29,null
289,670606/6125,31,8,2016-02-19,null,304,null
290,670710/0000,20,7,2001-03-28,null,200,null
291,670720/7100,7,8,2002-06-14,null,62,null
292,670822/0000,19,5,2010-04-08,null,190,null
293,670824/7040,20,2,2002-08-27,null,197,null
294,670928/0000,9,1,2018-08-28,null,86,null
295,671027/0000,1,3,2003-04-30,null,3,null
296,671027/0001,36,5,2008-08-19,null,356,null
297,671113/6465,36,7,2011-04-10,null,356,null
298,675212/0000,1,3,2018-11-21,null,8,null
299,675316/0000,34,6,2022-09-08,null,340,null
300,675413/5332,7,7,2002-11-09,null,70,null
301,675424/0000,28,3,2018-05-20,null,275,null
302,675706/0000,7,2,2003-07-22,null,62,null
303,676025/1135,16,8,2002-12-09,null,154,null
304,676104/0000,34,2,2007-09-06,null,337,null
305,680104/0000,5,3,2005-01-15,null,43,null
306,680201/0001,7,2,2015-11-23,null,69,null
307,680203/0000,15,3,2006-06-23,null,141,null
308,680316/0000,26,3,2013-11-03,null,255,null
309,680325/0000,6,3,2010-11-18,null,57,null
310,680414/6327,40,3,2018-08-26,null,394,null
311,680418/0000,27,8,2002-09-29,null,264,null
312,680504/0000,30,8,2000-11-06,null,291,null
313,680612/0000,6,4,2020-01-23,null,58,null
314,680626/0000,18,1,2002-05-09,null,178,null
315,680730/0000,29,4,2016-11-23,null,285,null
316,681226/6043,4,3,2002-11-15,null,37,null
317,681230/5239,36,2,2022-07-07,null,353,null
318,681230/6072,14,3,2001-08-17,null,131,null
319,685108/0000,31,8,2000-10-02,null,301,null
320,685523/0000,5,8,2022-06-13,null,42,null
321,685819/0000,3,4,2000-08-17,null,29,null
322,685910/6958,28,3,2012-02-18,null,274,null
323,686127/1582,28,6,2020-01-16,null,273,null
324,690119/0780,8,3,2000-09-22,null,75,null
325,690122/7773,37,6,2008-12-12,null,364,null
326,690225/0000,30,3,2015-03-12,null,299,null
327,690305/8448,6,5,2002-05-26,null,54,null
328,690419/9643,5,5,2010-07-23,null,42,null
329,690508/0000,6,3,2011-09-08,null,52,null
330,690516/0000,31,4,2009-10-11,null,309,null
331,690524/0000,12,8,2009-06-26,null,120,null
332,690524/4071,38,2,2010-04-25,null,375,null
333,690625/0000,34,4,2007-03-25,null,332,null
334,690707/0000,7,2,2000-06-13,null,68,null
335,690713/0000,25,3,2015-10-20,null,241,null
336,690727/8697,23,6,2007-08-26,null,226,null
337,690730/0000,16,6,2022-06-23,null,155,null
338,690809/0001,7,1,2008-09-13,null,64,null
339,690819/0000,39,2,2020-01-12,null,390,null
340,690823/7776,7,7,2019-02-04,null,68,null
341,690828/9047,23,7,2013-07-02,null,227,null
342,690927/8585,23,8,2004-06-17,null,221,null
343,691007/0000,11,2,2020-10-26,null,103,null
344,691009/5434,16,1,2005-06-11,null,157,null
345,691018/0000,13,6,2000-05-19,null,129,null
346,691105/3512,18,7,2004-03-03,null,180,null
347,691115/8474,33,5,2016-08-30,null,321,null
348,691118/4643,20,8,2020-04-30,null,197,null
349,691129/5314,5,7,2012-09-04,null,43,null
350,691222/4682,2,4,2018-04-15,null,12,null
351,695411/0000,5,4,2014-03-01,null,44,null
352,695502/8080,5,6,2013-08-03,null,47,null
353,695711/0000,12,6,2017-08-28,null,118,null
354,695721/5529,2,8,2006-01-30,null,11,null
355,695817/8425,13,6,2000-01-03,null,130,null
357,695919/0000,2,1,2018-12-01,null,20,null
358,696027/0000,3,8,2005-04-10,null,28,null
